time,lift,day_status
2014-12-31 00:00:00,Whistler Village Gondola,0
2014-12-31 00:00:00,Jersey Cream,0
2014-12-31 00:00:00,Crystal,0
2014-12-31 00:00:00,7th Heaven,0
2014-12-31 00:00:00,Glacier,0
2014-12-31 00:00:00,Peak 2 Peak,0
2014-12-31 00:00:00,Harmony,0
2014-12-31 00:00:00,Peak,0
2014-12-31 00:00:00,Spanky's Ladder,0
2014-12-31 00:00:00,Catskinner,0
2014-12-31 00:00:00,T-BAR,0
2014-12-31 00:00:00,Showcase,0
2014-12-31 00:00:00,Blackcomb Glacier,0
2014-12-31 00:00:00,Franz's,0
2014-12-31 00:00:00,Symphony,0
2014-12-31 00:00:00,Flute Bowl,0
2014-12-31 00:00:00,Garbanzo,0
2014-12-31 00:00:00,Excalibur Gondola (Lower),0
2014-12-31 00:00:00,Whistler Village Gondola (Lower),0
2014-12-31 00:00:00,Fitzsimmons,0
2014-12-31 00:00:00,Creekside Gondola,0
2014-12-31 00:00:00,Red Chair,0
2014-12-31 00:00:00,Blackcomb Gondola (Lower),0
2014-12-31 00:00:00,Blackcomb Gondola,0
2014-12-31 00:00:00,Excelerator,0
2014-12-31 00:00:00,Excalibur Gondola,0
2014-12-31 00:00:00,Olympic,0
2014-12-31 16:05:03,Emerald,1
2015-01-01 09:01:04,Excalibur Gondola,1
2015-01-01 09:01:04,Excalibur Gondola (Lower),1
2015-01-01 09:01:14,Excelerator,1
2015-01-01 09:01:24,Blackcomb Gondola,1
2015-01-01 09:01:35,Blackcomb Gondola (Lower),1
2015-01-01 09:03:03,Red Chair,1
2015-01-01 09:03:13,Creekside Gondola,1
2015-01-01 09:03:23,Fitzsimmons,1
2015-01-01 09:03:33,Olympic,1
2015-01-01 09:03:43,Whistler Village Gondola (Lower),1
2015-01-01 09:03:43,Whistler Village Gondola,1
2015-01-01 09:05:03,Emerald,1
2015-01-01 09:18:02,Garbanzo,1
2015-01-01 09:33:03,Jersey Cream,1
