Date/Time,Max Temp (°C),Min Temp (°C),Mean Temp (°C),Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Snow on Grnd (cm)
2015-01-01,4.5,0.5,2.5,0.0,0,0.0,1,117.0
2015-01-02,-3.0,-6.0,-4.5,0.0,0,0.0,1,116.0
2015-01-03,-6.0,-9.0,-7.5,0.0,0,5.0,0,115.0
2015-01-04,0.0,-8.0,-4.0,0.0,0,33.0,0,132.0
2015-01-05,3.0,-5.0,-1.0,23.0,0,6.0,0,149.0
2015-01-06,6.0,-2.5,1.8,0.0,0,0.0,0,131.0
2015-01-07,6.5,3.0,4.8,0.0,0,0.0,0,123.0
2015-01-08,5.0,0.0,2.5,0.0,0,0.0,0,123.0
2015-01-09,4.0,-2.0,1.0,0.0,0,3.0,0,122.0
2015-01-10,1.5,-2.5,-0.5,0.0,0,2.0,0,124.0
2015-01-11,-1.5,-5.0,-3.3,0.0,0,0.0,0,124.0
2015-01-12,-1.0,-6.0,-3.5,0.0,0,0.0,0,124.0
2015-01-13,4.5,-5.0,-0.3,0.0,0,0.0,0,124.0
2015-01-14,7.0,-1.0,3.0,0.0,0,0.0,0,123.0
2015-01-15,-2.0,-3.0,-2.5,0.0,0,14.0,0,123.0
2015-01-16,-2.0,-4.0,-3.0,0.0,0,0.0,1,137.0
2015-01-17,0.0,-6.5,-3.3,0.0,0,11.0,0,134.0
2015-01-18,-1.5,-4.0,-2.8,0.0,0,9.0,0,154.0
2015-01-19,-5.0,-6.0,-5.5,0.0,0,0.0,0,159.0
2015-01-20,-2.6666666666666665,-5.0,-3.833333333333333,0.0,0,0.0,0,157.66666666666666
2015-01-21,-0.33333333333333304,-4.0,-2.166666666666666,0.0,0,0.0,0,156.33333333333331
2015-01-22,2.0,-3.0,-0.5,4.0,0,0.0,1,155.0
2015-01-23,3.0,0.0,1.5,35.0,0,0.0,0,149.0
2015-01-24,4.5,0.0,2.3,10.0,0,0.0,0,140.0
2015-01-25,7.5,2.0,4.8,0.0,0,0.0,0,132.0
2015-01-26,7.5,5.0,6.3,0.0,0,0.0,0,124.0
2015-01-27,3.0,0.0,1.5,0.0,0,0.0,0,122.0
2015-01-28,0.5,-7.5,-3.5,0.0,0,0.0,0,122.0
2015-01-29,2.5,-4.0,-0.8,0.0,0,0.0,0,122.0
2015-01-30,2.5,-2.5,0.0,0.0,0,0.0,0,121.0
2015-01-31,1.0,-4.0,-1.5,0.0,0,10.0,0,126.0
2015-02-01,-1.5,-3.5,-2.5,0.0,0,5.0,0,131.0
2015-02-02,-2.5,-5.5,-4.0,0.0,0,6.0,0,132.0
2015-02-03,-0.5,-3.5,-2.0,0.0,0,0.0,0,137.0
2015-02-04,2.5,-6.0,-1.8,0.0,0,0.0,1,136.0
2015-02-05,2.0,-2.5,-0.3,60.0,0,13.0,0,121.0
2015-02-06,1.5,-0.5,0.5,51.0,0,9.0,0,148.0
2015-02-07,-0.5,-2.0,-1.3,0.0,0,9.0,0,152.0
2015-02-08,1.0,-2.0,-0.5,0.0,0,5.0,0,158.0
2015-02-09,1.0,-2.0,-0.5,2.0,0,2.0,0,159.0
2015-02-10,0.5,-1.5,-0.5,0.0,0,0.0,0,156.0
2015-02-11,3.0,-1.5,0.8,0.0,1,0.0,0,152.0
2015-02-12,5.0,-1.0,2.0,7.0,0,4.0,0,150.0
2015-02-13,5.0,0.0,2.5,28.0,0,0.0,0,150.0
2015-02-14,2.5,-3.0,-0.3,0.0,0,0.0,0,145.0
2015-02-15,2.0,-5.0,-1.5,0.0,0,0.0,0,144.0
2015-02-16,-0.5,-5.5,-3.0,0.0,0,0.0,0,144.0
2015-02-17,5.0,-3.5,0.8,0.0,0,0.0,0,144.0
2015-02-18,2.5,-0.5,1.0,0.0,0,0.0,1,144.0
2015-02-19,-1.0,-2.5,-1.8,0.0,0,1.1,0,144.0
2015-02-20,0.5,-5.0,-2.3,0.0,0,0.0,0,143.0
2015-02-21,-1.0,-7.0,-4.0,0.0,0,0.0,0,143.0
2015-02-22,5.0,-6.5,-0.8,0.0,0,0.0,0,143.0
2015-02-23,8.0,0.0,4.0,0.0,0,0.0,0,143.0
2015-02-24,2.5,-2.0,0.3,0.0,0,0.0,0,143.0
2015-02-25,-3.0,-6.0,-4.5,0.0,0,5.0,0,143.0
